name,name_tag,elev,wsun,kappa,beta,t,wsky
pano_aggpelolwmutnt,,0.75325,1.82955 1.74164 1.62487,0.12434,15.39863,20.67843,0.62144 0.65703 0.68998
pano_aggqniceqwbizy,,1.31808,1.12392 1.07532 1.00881,0.12919,11.13694,19.97021,0.63174 0.65633 0.67621
pano_aggrgorgoxnoha,,0.34260,0.06425 0.06439 0.06092,0.34642,46.41572,18.67534,0.24417 0.24591 0.25783
pano_aggvawzltrncrz,,0.45991,0.76820 0.72923 0.67260,0.08429,18.06794,18.91309,0.41353 0.42489 0.44055
pano_aggvnnubgxwnwg,,1.09208,0.36683 0.35612 0.35639,0.13109,0.25222,17.49947,0.78025 0.76767 0.73870
pano_aggyipdnsknosj,,1.30451,0.04785 0.05331 0.06160,0.65364,4.98073,21.33236,0.27443 0.28620 0.30732
pano_aghaoqklxzrylz,,1.24413,0.78663 0.75913 0.74047,0.13345,1.12037,18.96134,0.78596 0.79633 0.79091
pano_aghbrjcfmfzujt,,0.72106,2.00227 1.91428 1.80094,0.14440,12.55168,21.02715,0.70011 0.74232 0.77784
pano_aghbtkvvjmsdgg,,1.37670,0.17977 0.17274 0.16693,0.10028,1.23266,16.68841,0.54556 0.52754 0.50672
pano_aghepvnguaomxi,,0.14184,0.06560 0.07626 0.09238,0.94061,13.21116,24.55577,0.42748 0.47399 0.53391
pano_aghhjtfewysftg,,1.40377,0.10975 0.10827 0.10881,0.16818,0.63184,17.02418,0.62360 0.60199 0.57414
pano_aghhmaicbyfahs,,1.16927,0.36533 0.35762 0.35682,0.16248,0.68797,18.42317,0.74643 0.74426 0.72841
pano_aghhurhfnfcgkg,,0.15707,1.69658 1.61425 1.50014,0.10236,20.26790,20.37317,0.48626 0.51461 0.54637
pano_aghhxzwuvsmgta,,0.47563,1.22637 1.16314 1.07587,0.10184,16.51236,19.78785,0.52413 0.54626 0.56922
pano_aghjeenyvawbkq,,0.16823,0.03161 0.03643 0.04272,0.94374,31.68928,23.41889,0.34361 0.37357 0.41774
pano_aghkgdjoavydoi,,0.72521,0.95884 0.91061 0.84055,0.08730,18.59089,19.23041,0.43936 0.45448 0.47326
pano_aghkqxzlsfsccf,,0.28837,0.21837 0.21635 0.20262,0.35026,48.28532,20.35249,0.21765 0.23013 0.25502
pano_aghlbbnchenbqa,,1.00517,0.45438 0.43641 0.41393,0.12598,4.91079,18.62565,0.62905 0.63226 0.62946
pano_aghlpbarmmtygq,,0.45692,0.37752 0.35860 0.31862,0.14424,48.23098,19.08629,0.20317 0.21134 0.23062
pano_aghmguezbhqfgk,,0.51621,0.04292 0.04461 0.04438,0.54306,45.88537,19.64972,0.23411 0.23912 0.25507
pano_aghnbkborbjdbx,,1.14429,0.28728 0.28040 0.27958,0.15002,0.52153,17.82794,0.73268 0.72242 0.69919
pano_aghnpvwoolrixy,,1.15200,0.10783 0.10428 0.10392,0.10769,0.19043,15.33394,0.63742 0.60079 0.55725
pano_aghovrltxkwpfa,,0.29514,0.01856 0.01946 0.02001,0.46065,20.70465,18.08237,0.31202 0.30389 0.30359
pano_aghqfnuuoqldfu,,1.26512,1.86133 1.80105 1.74454,0.17943,4.44760,21.27157,0.79623 0.84220 0.87478
pano_aghqfsfieoruco,,1.05351,0.23227 0.23977 0.25493,0.34629,1.13462,20.23149,0.60287 0.61820 0.62866
pano_aghrumbrkmvwsa,,0.69807,0.06093 0.05948 0.05967,0.12363,0.25437,15.10091,0.55700 0.52012 0.48089
pano_aghryfbpebcoga,,0.79468,1.50624 1.43381 1.33642,0.11925,14.60421,20.32548,0.59541 0.62529 0.65319
pano_aghtusdlpfgdcn,,0.43858,0.01576 0.01826 0.02082,0.96387,48.54710,22.37614,0.19944 0.21728 0.25080
pano_aghvezgclhkamx,,0.88677,0.49873 0.47064 0.42970,0.09114,13.46748,18.19375,0.54415 0.54581 0.54600
pano_aghwmmxgnkezzj,,1.07100,0.64536 0.61429 0.56635,0.07075,22.33715,18.51366,0.32011 0.32787 0.34258
pano_aghyiayaeovsjl,,0.25856,0.11809 0.12306 0.12570,0.55324,35.03478,21.50124,0.34312 0.36133 0.38990
pano_aghzfnfldjuvxo,,0.79773,0.41654 0.43012 0.47114,0.34785,0.14531,20.31604,0.80044 0.82307 0.82770
pano_aghzomdwwqiqlx,,0.34277,0.05640 0.05716 0.05418,0.52865,49.09027,19.03698,0.21692 0.22214 0.23897
pano_agibuiajvzcxgk,,0.94892,0.21337 0.20246 0.18946,0.09783,3.39359,17.05261,0.59648 0.57956 0.55838
pano_agidstnqxsgcoo,,0.35720,0.58023 0.55222 0.51273,0.11222,10.21598,18.82571,0.59462 0.60216 0.60601
pano_agigpwbqwrpoex,,0.44525,0.11392 0.11483 0.11137,0.38240,41.26060,20.08438,0.30081 0.30997 0.32917
pano_agigtdpskqxvaj,,0.53281,1.75285 1.66498 1.54660,0.10420,18.50979,20.39218,0.51775 0.54758 0.57951
pano_agihnsurplxlif,,0.55531,0.06228 0.06326 0.06403,0.31276,5.25466,18.56293,0.50442 0.49630 0.48903
pano_agiissezaoydgq,,0.99000,0.16169 0.17868 0.20997,0.72459,0.60097,22.62392,0.64505 0.68437 0.71905
pano_agijfdjqibfcoc,,1.18925,0.35149 0.32634 0.30018,0.06184,1.76775,15.98702,0.62473 0.60205 0.57316
pano_agiksuaoxsmaci,,0.70915,0.05239 0.05376 0.05246,0.42108,47.22379,19.31920,0.18495 0.18896 0.20371
pano_aginkmgfipeqdo,,0.18336,0.16751 0.16253 0.15020,0.15020,36.57096,18.38366,0.30708 0.30807 0.31709
pano_aginobrkgvuwbl,,0.06384,0.02114 0.02464 0.02872,0.96811,46.00127,23.04856,0.25348 0.27827 0.31967
pano_agioilppavgqon,,1.29170,0.24018 0.23466 0.23598,0.14175,0.31077,17.30530,0.71152 0.69534 0.66706
pano_agipdkpovnqrcs,,0.76625,2.00253 1.90593 1.77837,0.12552,16.77849,20.89293,0.60883 0.64676 0.68316
pano_agipshenhlbydn,,0.56320,0.18867 0.18554 0.17589,0.21917,29.74066,19.28994,0.38674 0.39264 0.40495
pano_agipvlaerrdocm,,0.88887,0.70162 0.68721 0.68498,0.17583,0.94082,19.48784,0.79255 0.80822 0.80772
pano_agiqfvhulwtomq,,0.72685,0.99767 0.99322 1.01301,0.26687,1.06800,21.14243,0.85281 0.89248 0.91339
pano_agishlvzpebrfr,,1.07001,0.48371 0.46358 0.43870,0.11493,5.21831,18.57166,0.59213 0.59601 0.59561
pano_agiulqmbydkiqn,,1.10337,0.06895 0.06973 0.07342,0.22026,0.21964,16.76299,0.57762 0.55456 0.52689
pano_agiunlvfrnjjhn,,0.53594,1.24611 1.18589 1.10062,0.10621,16.72902,19.88283,0.53193 0.55502 0.57860
pano_agivnivjlqfvqk,,1.17796,0.01706 0.01863 0.02061,0.64301,8.11802,19.61106,0.33374 0.33192 0.33755
pano_agivzoyisanzki,,1.04251,0.42976 0.40787 0.37625,0.09593,11.27837,18.16887,0.52532 0.52606 0.52597
pano_agiweenpeqvugi,,0.60771,2.40756 2.29377 2.14906,0.14604,15.38455,21.41442,0.69722 0.74520 0.78784
pano_agiwpnmzxrwivs,,1.11404,0.32583 0.31135 0.30029,0.10894,0.79191,17.21561,0.72820 0.71198 0.68357
pano_agiwuqaoofbyrj,,0.74275,1.40719 1.37333 1.36544,0.18465,1.03167,20.59830,0.87631 0.91203 0.92700
pano_agixpqjpcqsxlt,,0.78851,0.02666 0.02639 0.02586,0.18999,3.57894,15.78328,0.43722 0.40862 0.38387
pano_agiyaspjaafcuf,,1.03611,0.02356 0.02875 0.03679,0.98488,22.69121,24.56494,0.35899 0.40126 0.46068
pano_agiybnbbhytbgj,,0.66000,0.03820 0.04036 0.04132,0.69372,43.71107,20.41850,0.29357 0.30233 0.32215
pano_agiyfvpljlmlto,,1.08256,0.02326 0.02667 0.03127,0.91544,21.28859,22.59677,0.34788 0.36903 0.40164
pano_agizrbcginhggf,,0.75215,0.03189 0.03648 0.04455,0.81120,0.64513,21.72214,0.49157 0.50762 0.52549
pano_agjbuffgctfqcu,,1.40134,0.09094 0.08908 0.08888,0.14347,0.55035,16.32549,0.58902 0.56177 0.53021
pano_agjcjwppogcaej,,0.86669,0.28441 0.27582 0.26809,0.14612,1.79180,18.14291,0.67760 0.67103 0.65553
pano_agjcqwntanaotf,,1.25338,0.52899 0.51850 0.52599,0.16163,0.25041,18.47677,0.83025 0.83130 0.81261
pano_agjfjzbhhnvlpq,,0.61774,0.68270 0.66829 0.65193,0.19066,5.16470,20.16986,0.65314 0.67578 0.69212
pano_agjflywaqyohcp,,0.94179,0.39971 0.37632 0.33934,0.06484,25.81310,17.66086,0.33161 0.33210 0.33890
pano_agjfnvkjvnaoqs,,0.19034,0.12602 0.13318 0.13913,0.54343,34.65483,21.85434,0.25805 0.27552 0.30515
pano_agjfsngwfybrwm,,0.68498,0.03873 0.03994 0.04224,0.32136,0.77420,17.52312,0.52990 0.51091 0.49069
pano_agjfytvabkwxtk,,0.34191,0.00922 0.01029 0.01117,0.91545,47.72860,19.91702,0.22677 0.23286 0.25133
pano_agjhdrpiwopado,,0.76538,1.09819 1.04287 0.96265,0.07978,21.72979,19.36639,0.38251 0.39858 0.42064
pano_agjihpdfvhpfeb,,0.54914,0.36149 0.34173 0.31090,0.07756,21.23347,17.83711,0.37246 0.37271 0.37811
pano_agjjcteiernunx,,0.62958,0.58861 0.56080 0.52624,0.11819,5.61830,18.81809,0.66058 0.66729 0.66662
pano_agjkzzfqycdapp,,0.35910,0.16193 0.16417 0.16068,0.47019,41.66645,20.95377,0.34520 0.36210 0.38943
pano_agjlgrolfleymp,,0.88934,1.45717 1.39039 1.29865,0.12374,13.98651,20.29583,0.61875 0.64854 0.67499
pano_agjllwjqouglca,,0.82793,1.49586 1.42883 1.33894,0.13415,12.47446,20.45705,0.65795 0.69040 0.71759
pano_agjltxqcqgcgvy,,0.92461,1.58154 1.50337 1.39600,0.11028,17.65869,20.31657,0.54972 0.57869 0.60806
pano_agjluwydeclfhi,,0.51233,0.65282 0.61700 0.56370,0.08592,17.94306,18.62362,0.47338 0.48118 0.49085
pano_agjmewfaailqia,,0.71496,0.97582 0.93454 0.88200,0.13490,6.84017,19.68174,0.70353 0.72458 0.73652
pano_agjrvfrddsfxra,,0.49610,0.05580 0.06659 0.08418,0.96996,8.26944,24.95271,0.48258 0.53930 0.60907
pano_agjsjvxyaajsji,,0.60212,0.40089 0.38533 0.36584,0.13235,4.82923,18.60849,0.63679 0.63846 0.63387
pano_agjtqtuilhloyh,,0.82681,1.36911 1.30936 1.22981,0.13618,10.18924,20.23205,0.69457 0.72489 0.74748
pano_agjttesrhtfzdp,,1.26884,0.32489 0.31577 0.30316,0.13382,7.37265,18.67601,0.47285 0.47649 0.48145
pano_agjuahxxcccznx,,0.85955,0.39690 0.39111 0.37860,0.20417,14.97120,20.02396,0.47344 0.48890 0.50739
pano_agjvwljiyhiwak,,1.04161,0.07979 0.07872 0.08051,0.14154,0.18216,15.65194,0.57920 0.54790 0.51223
pano_agjxaqndmwuhbp,,0.65554,0.60923 0.57439 0.52449,0.08994,15.23435,18.57011,0.51332 0.51973 0.52630
pano_agjxeeqzuifipg,,0.97557,0.76375 0.74995 0.74370,0.20189,1.90132,20.15108,0.78018 0.80443 0.81428
pano_agjyajeawzpjxq,,1.09727,0.12165 0.13541 0.15832,0.77311,2.05166,23.14636,0.54054 0.57853 0.61908
pano_agjzqmmphastmh,,0.25738,0.94608 0.89827 0.83261,0.11020,12.26474,19.45084,0.59384 0.61156 0.62622
pano_agkahzgsyifftd,,0.73112,0.25345 0.24640 0.24201,0.14059,1.10068,17.84469,0.65630 0.64686 0.62910
pano_agkbfkofrhqrjr,,0.80806,0.03173 0.03378 0.03562,0.56373,22.67882,19.83146,0.31277 0.31521 0.32624
pano_agkcchgryrfoqt,,0.58410,1.01406 0.96246 0.88184,0.12049,33.92999,20.28720,0.36880 0.38930 0.41818
pano_agkemgrnocjlrh,,1.15073,0.01893 0.02156 0.02521,0.88287,15.53663,21.67519,0.32058 0.33380 0.35728
pano_agkgqiogijgxmk,,0.91378,0.60198 0.56894 0.51806,0.06889,24.26554,18.32905,0.34328 0.34945 0.36197
pano_agkgvypwmrcoxr,,0.89403,1.38912 1.32315 1.22983,0.10265,18.79731,20.06467,0.48721 0.51172 0.53900
pano_agkhsdzvdwzkor,,0.31451,0.03831 0.03918 0.03860,0.45122,35.43161,18.74576,0.35305 0.35036 0.35555
pano_agkihstmgwhvfr,,0.50460,0.02807 0.03403 0.04337,0.98173,17.37292,24.57442,0.39821 0.44365 0.50488
pano_agkingcrhobwry,,0.73078,0.96984 0.92505 0.85711,0.08418,24.12320,19.42660,0.34700 0.36201 0.38424
pano_agkizewalpnoih,,0.62085,0.54209 0.53535 0.52725,0.22839,5.42065,20.31262,0.65349 0.67599 0.69249
pano_agkjphrxaysqwh,,0.11774,0.18348 0.18289 0.18026,0.22367,9.46518,19.22181,0.46456 0.46914 0.47607
pano_agkjrtfcnnzvec,,0.23763,0.15789 0.16850 0.17936,0.70959,29.75225,23.00099,0.39012 0.42243 0.46624
pano_agkltfuruqepbj,,1.30898,0.37648 0.36217 0.34707,0.12259,2.71023,18.20490,0.63489 0.63223 0.62280
pano_agkppubjnsvniw,,0.49531,0.56522 0.57096 0.58520,0.31799,3.16066,21.23528,0.65660 0.68941 0.71651
pano_agkpufmntjjvzq,,0.62615,2.48748 2.36571 2.21207,0.14173,15.89490,21.41374,0.68748 0.73552 0.77887
pano_agkpxvocvvngpg,,1.18882,0.06978 0.06725 0.06486,0.11306,1.21216,15.57833,0.53880 0.50624 0.47271
pano_agkqjbhyvyexep,,1.07939,0.08777 0.08505 0.08126,0.12861,4.24491,16.64329,0.48487 0.46476 0.44567
pano_agkqzcqchgwbds,,0.38341,0.38212 0.38470 0.38448,0.32330,14.33230,21.19731,0.48829 0.51339 0.54237
pano_agkrmedeppuugf,,0.12989,0.03337 0.03589 0.03669,0.79165,49.40147,20.72124,0.16247 0.17219 0.19477
pano_agksastcunxtuz,,0.39611,0.06070 0.06384 0.06400,0.65073,48.75001,20.67123,0.18117 0.19154 0.21451
pano_agksdcebpnsxwa,,0.79694,0.03837 0.04230 0.04757,0.73303,7.50060,21.49595,0.42675 0.44028 0.45982
pano_agktxfzxdzctna,,0.22130,0.03773 0.04305 0.04925,0.92408,41.21594,23.26243,0.26942 0.29477 0.33562
pano_agkuvijaayuxiu,,0.82386,0.49125 0.47704 0.45954,0.16522,4.54968,19.30068,0.67575 0.68627 0.68873
pano_agkuxryabjodpc,,0.64950,0.03353 0.03589 0.03754,0.67287,40.08861,20.74695,0.26728 0.27538 0.29449
pano_agkvdeujisqesf,,1.09672,0.27756 0.27923 0.28158,0.25258,4.84838,19.86241,0.53306 0.54558 0.55745
pano_agkvvawbwpzlci,,0.42985,1.84415 1.74313 1.60615,0.10063,25.59711,20.65455,0.44037 0.46955 0.50494
pano_agkwfrzsyxwbqp,,0.66578,0.49830 0.47397 0.43617,0.07925,20.49150,18.34131,0.35725 0.36252 0.37355
pano_agkwobzupoxtjw,,0.75187,0.58598 0.56128 0.52576,0.12103,10.84363,19.10415,0.55500 0.56557 0.57445
pano_agkyhtijldircd,,0.50768,0.78878 0.74765 0.68664,0.07176,21.33491,18.70914,0.35819 0.36819 0.38425
pano_agkykvubvxmnqg,,0.47060,0.04053 0.04570 0.05141,0.93995,42.94702,22.81098,0.33216 0.36153 0.40600
pano_agkyrmouhbytjn,,0.84915,1.78463 1.70065 1.58772,0.12438,15.56704,20.64859,0.61591 0.65073 0.68307
pano_agkzntmafgqvvg,,1.16244,1.01034 0.96041 0.88766,0.09424,17.39119,19.37002,0.48813 0.50499 0.52363
pano_agkzuyiqnjooap,,1.11251,0.68457 0.65216 0.60459,0.10159,13.99068,18.95755,0.51120 0.52213 0.53333
pano_aglbbclaanotid,,0.52014,0.08889 0.08867 0.09039,0.20221,0.59547,17.22610,0.61974 0.59868 0.57171
pano_aglebgdtuxsqkf,,1.01383,0.68364 0.65194 0.60660,0.11158,11.73204,19.08966,0.56311 0.57486 0.58456
pano_aglfcgzokwiwff,,0.91562,1.11779 1.06336 0.98542,0.09426,17.76653,19.55581,0.47067 0.48952 0.51112
pano_aglfvfgxhjtaky,,1.18749,0.09238 0.09376 0.09767,0.25583,0.66018,18.00525,0.59661 0.58445 0.56717
pano_aglgfafoxrjgwd,,0.41433,2.22354 2.11613 1.97656,0.13265,16.75484,21.15047,0.64037 0.68277 0.72253
pano_aglihkwltjxwfi,,1.02468,0.76619 0.72879 0.67495,0.11152,13.00203,19.21931,0.58261 0.59624 0.60716
pano_aglimqznhjkykj,,0.63960,0.02183 0.02406 0.02624,0.84660,38.72295,21.13165,0.30316 0.31454 0.33734
pano_aglirlmzreeykt,,0.55539,0.22906 0.21895 0.20240,0.10422,16.71655,17.81729,0.41416 0.41060 0.41085
pano_agljdfdyajebeb,,0.43593,0.21684 0.21045 0.20159,0.14168,5.82186,18.17701,0.52666 0.52240 0.51710
pano_agljsnawtorqir,,1.32476,0.20728 0.20948 0.21326,0.21148,4.56557,19.24025,0.39170 0.39815 0.40893
pano_aglkrwvfykkzeg,,0.82113,0.87021 0.83118 0.77233,0.09820,20.62360,19.48405,0.40676 0.42244 0.44334
pano_aglkvlbqhlycmi,,0.66762,0.06624 0.07006 0.07438,0.55092,10.03764,20.69796,0.45757 0.46777 0.48225
pano_agllakfkeqkiax,,0.15368,0.56575 0.53427 0.48394,0.05512,31.00941,18.03873,0.25207 0.25680 0.26989
pano_agllstjocjxvxs,,0.22294,0.18347 0.19118 0.20264,0.43799,3.48577,20.94225,0.56478 0.58465 0.60325
pano_agloeychjvfslq,,0.57241,2.26473 2.15301 2.00902,0.12727,17.24663,21.12239,0.61630 0.65791 0.69817
pano_aglofahziffgwz,,0.67921,0.61623 0.58381 0.54531,0.10756,4.32465,18.49723,0.70628 0.70931 0.70230
pano_aglqagbleiopag,,0.73519,0.77933 0.77503 0.77997,0.25244,2.69143,20.92004,0.71345 0.74624 0.76952
pano_aglqhslaqscmjc,,0.41409,1.23176 1.17502 1.09910,0.12313,10.76696,19.94593,0.64680 0.67222 0.69217
pano_aglqnexkdkxrbv,,0.85694,0.05399 0.05694 0.06147,0.42463,1.84056,19.22029,0.47185 0.46979 0.46919
pano_aglskewpjffnlt,,0.71436,1.22910 1.17103 1.08873,0.09783,17.95521,19.79860,0.46578 0.48707 0.51159
pano_aglsmbrbhqahgu,,1.25639,0.12803 0.12423 0.12360,0.12533,0.28024,16.11878,0.68218 0.65038 0.60928
pano_aglvvzltljeaqa,,1.08024,1.30524 1.24445 1.15952,0.11719,14.53688,20.05492,0.59048 0.61649 0.64027
pano_aglvzrejxzzbmn,,0.71455,0.76339 0.71987 0.65467,0.06853,25.06610,18.63636,0.34951 0.35862 0.37420
pano_aglxlxfriatspe,,0.64696,0.48044 0.47424 0.46200,0.20321,12.95152,20.22241,0.47444 0.49303 0.51466
pano_aglzicqqlnooru,,0.25164,1.88536 1.79379 1.66931,0.11899,19.01788,20.76936,0.56504 0.59965 0.63471
pano_aglzrlcweilqdj,,1.17733,0.08841 0.09358 0.10454,0.41139,0.25437,19.11813,0.57460 0.57478 0.57009
pano_agmbjdhmotrstq,,0.68692,0.93095 0.89212 0.84661,0.10418,6.13050,19.26656,0.54510 0.56093 0.57490
pano_agmbsjxynccvjs,,0.64444,0.02437 0.02573 0.02607,0.54897,46.43748,19.26579,0.16999 0.17219 0.18485
pano_agmcoaqzdaulpo,,0.51515,2.91951 2.79116 2.64041,0.16970,11.12103,21.85715,0.81992 0.87994 0.92774
pano_agmetcaxvljvmg,,1.18640,0.63532 0.60509 0.56575,0.10195,7.36308,18.68231,0.57872 0.58597 0.58978
pano_agmfkjuwclxtde,,0.74546,0.19464 0.19191 0.18668,0.13837,9.99244,18.30766,0.34890 0.34966 0.35601
pano_agmgmfqqzhbhyo,,0.92409,0.11810 0.11432 0.11493,0.10929,0.11387,15.22304,0.66262 0.62454 0.57804
pano_agmhtriidvlwlj,,0.08083,0.02406 0.02840 0.03471,0.94594,19.95425,23.71605,0.30569 0.33233 0.37298
pano_agmlqarftbdnhp,,0.39125,0.87863 0.83528 0.77181,0.09950,17.28913,19.33536,0.48995 0.50540 0.52257
pano_agmmzptsilkjqx,,0.16362,0.01722 0.01881 0.01950,0.85519,49.60561,20.14061,0.14590 0.15304 0.17239
pano_agmnbanmbiwxey,,0.46151,0.15543 0.15711 0.15412,0.34829,35.13472,20.37150,0.32352 0.33543 0.35674
pano_agmnfmejpvolcg,,1.44836,0.60903 0.58155 0.54402,0.11954,8.18734,18.94132,0.62583 0.63484 0.63851
pano_agmnmuyvbmzcji,,0.52492,0.59262 0.56515 0.52566,0.11011,12.11334,18.94064,0.53472 0.54408 0.55265
pano_agmocertireghz,,0.18796,0.06943 0.06818 0.06474,0.20210,18.74490,17.59023,0.41739 0.40636 0.39986
pano_agmouzlhgjrwaj,,1.03758,0.07875 0.07707 0.07585,0.14413,1.35120,16.52619,0.52567 0.50196 0.47726
pano_agmuehcdvumyry,,1.14015,0.15715 0.15376 0.14552,0.12319,25.60018,18.04138,0.26783 0.26773 0.27561
pano_agmupsqfpqoeqt,,0.69894,1.35376 1.29469 1.21515,0.13248,11.86738,20.29843,0.64083 0.67053 0.69555
pano_agmuwzoclxlugz,,0.13336,0.02388 0.02837 0.03458,0.97641,34.54636,23.95109,0.33534 0.37054 0.42230
pano_agmxqyrukjhvnf,,0.21669,0.72066 0.69069 0.64986,0.12671,9.78408,19.45262,0.57548 0.59093 0.60391
pano_agmxruzevlbmhh,,0.49649,0.43603 0.42183 0.40788,0.14393,2.35366,18.68571,0.69433 0.69688 0.68959
pano_agmylnhuuiiysm,,0.42460,1.41334 1.33817 1.23314,0.07983,23.63289,19.77885,0.38141 0.40138 0.42809
pano_agmyvxxdggnndt,,0.89775,0.22399 0.22286 0.22544,0.21187,1.08474,18.71140,0.67417 0.67251 0.66176
pano_agmyxmcrpdnoui,,1.05971,0.67260 0.63746 0.58552,0.09122,15.86688,18.72334,0.49791 0.50675 0.51637
pano_agnbhynmuobbyh,,0.21109,0.01901 0.02141 0.02323,0.95502,49.51981,21.39319,0.20019 0.21627 0.24785
pano_agnbqogwmgdeyc,,0.44018,0.85652 0.81543 0.75811,0.11700,11.86353,19.44468,0.59920 0.61603 0.62949
pano_agnbsbymxlyhuf,,0.33728,0.73224 0.69780 0.65062,0.11656,10.71395,19.27878,0.57938 0.59326 0.60449
pano_agncpsxrjamlxh,,1.02587,0.27744 0.26797 0.25780,0.13407,2.68695,18.05901,0.62596 0.61953 0.60703
pano_agnddrbfwprzut,,0.34039,0.28533 0.27012 0.24108,0.11224,42.57049,18.30908,0.28604 0.28926 0.30129
pano_agndokcxznscfu,,0.87984,0.19215 0.18547 0.17854,0.12345,2.14683,17.36675,0.59592 0.58166 0.56275
pano_agnepxrxpzstcr,,1.00217,0.14133 0.14594 0.15433,0.35006,1.37077,19.68072,0.58390 0.59010 0.59246
pano_agnesmrjmbamvy,,0.45045,1.12062 1.05540 0.96075,0.06835,28.98721,19.28707,0.32033 0.33458 0.35701
pano_agnfdtnbkiniqv,,1.04326,0.57691 0.54528 0.49911,0.08788,14.60889,18.40420,0.50890 0.51390 0.51900
pano_agnfncpylllfec,,1.40291,0.07449 0.07197 0.06936,0.12148,1.71526,16.05812,0.52906 0.50082 0.47195
pano_agnjliurqshzyz,,0.92624,0.84352 0.80199 0.74126,0.09963,15.66607,19.20463,0.51583 0.53015 0.54485
pano_agnksfftdxcsjt,,0.49852,2.11345 2.01102 1.87780,0.13223,15.80090,21.02387,0.65121 0.69231 0.72992
pano_agnljgdyexycsl,,0.29716,0.13014 0.13360 0.13282,0.52649,42.17482,21.24434,0.31671 0.33363 0.36190
pano_agnlqglzxtghhe,,0.93042,1.39082 1.32494 1.23112,0.09438,19.70065,19.92775,0.45034 0.47310 0.49996
pano_agnmfgdhpfoqon,,0.33579,0.34903 0.34974 0.34747,0.30736,12.06048,20.84031,0.53296 0.55541 0.57927
pano_agnmgnsdkhkecu,,1.10125,0.19772 0.19401 0.19091,0.17642,2.05177,18.19143,0.62718 0.61950 0.60584
pano_agnoicprpvxvlh,,1.36391,0.80448 0.78178 0.76324,0.16584,2.17523,19.72156,0.76547 0.78480 0.79044
pano_agnsnsebmsfnym,,0.45231,0.92160 0.90436 0.88579,0.21996,5.76327,20.88714,0.69328 0.72708 0.75335
pano_agnstovbgiilxo,,1.05274,0.22393 0.21635 0.21581,0.11703,0.17885,16.38466,0.75048 0.72301 0.68155
pano_agntpxnhhastrm,,0.45532,0.05806 0.06079 0.06002,0.80720,49.49258,20.49064,0.24031 0.25487 0.28363
pano_agnubgsuwdyuwv,,0.98617,0.12607 0.12211 0.12044,0.12346,0.45011,16.22976,0.65026 0.62075 0.58383
pano_agnwnwcnfhnzmf,,0.63016,1.82515 1.73557 1.61364,0.11186,19.21587,20.61089,0.53831 0.57061 0.60440
pano_agnxsmjexkuzaw,,1.17445,1.38312 1.31940 1.23245,0.12386,12.62912,20.15384,0.64138 0.66982 0.69344
pano_agnxtnaofyzpjk,,0.98575,0.24486 0.23370 0.22844,0.09809,0.24823,16.19165,0.75725 0.72721 0.68326
pano_agnyienwbakehg,,0.22992,0.20414 0.19633 0.18037,0.15495,32.03815,18.61760,0.38740 0.38888 0.39642
pano_agnzkgnbbewsyv,,1.48693,0.84453 0.82456 0.81535,0.17323,1.36167,19.78908,0.78822 0.80909 0.81450
pano_agnzskptdmhfvk,,0.79118,0.08046 0.07682 0.07118,0.11101,8.79751,16.26551,0.46250 0.44023 0.42049
pano_agoasbgccoruje,,1.19688,0.21653 0.20378 0.19054,0.07500,1.78752,16.19641,0.57835 0.55553 0.52884
pano_agocpaliyhlrjd,,0.40009,0.03197 0.03678 0.04258,0.95343,40.33560,23.35352,0.32502 0.35548 0.40157
pano_agocqluxveycrw,,0.93466,1.09149 1.03888 0.96331,0.10075,16.95913,19.62024,0.50207 0.52158 0.54258
pano_agocybdxbiwatk,,1.52392,0.05824 0.05774 0.05798,0.17663,0.93464,16.51688,0.53305 0.50741 0.48056
pano_agodbibniacmtc,,1.32088,0.27672 0.26866 0.26046,0.12414,2.90730,17.98748,0.51942 0.51574 0.51062
pano_agodkkkdhxkauf,,0.50101,0.23567 0.24251 0.25380,0.38386,2.64892,20.70312,0.62504 0.64496 0.66022
pano_agoelowctcydwe,,0.20612,0.03077 0.03167 0.03264,0.33907,3.96332,17.92345,0.45079 0.43594 0.42404
pano_agoenfrsufmoid,,0.40193,1.32209 1.26017 1.17288,0.11119,17.22122,20.10745,0.52732 0.55251 0.57868
pano_agoftxdnxqlprm,,0.80175,0.11931 0.11513 0.11175,0.11879,1.00973,16.43955,0.60485 0.57860 0.54755
pano_agohbezpqomoan,,0.82634,0.18072 0.17245 0.16538,0.10216,0.95225,16.48989,0.64613 0.62106 0.58894
pano_agohlnvsalwxsw,,0.92394,0.32328 0.31920 0.32123,0.18901,0.83642,18.76774,0.72150 0.72256 0.71154
pano_agohtxrjpxosoo,,0.36851,2.40677 2.29195 2.14512,0.14447,17.09519,21.47787,0.65983 0.70696 0.75104
pano_agoijftctzpkpc,,0.45783,1.54317 1.47203 1.37849,0.14468,13.98670,20.78468,0.64435 0.67984 0.71158
pano_agojjyfsfxrvmn,,0.15269,0.68773 0.65456 0.60346,0.05905,25.19173,18.39336,0.25706 0.26428 0.27983
pano_agolqlvjxtuybt,,0.96243,1.56939 1.49429 1.39032,0.11265,17.62672,20.35690,0.54703 0.57622 0.60593
pano_agoluwhczwsuwc,,0.99374,0.42019 0.40445 0.38867,0.13364,2.24602,18.44736,0.70476 0.70386 0.69258
